company,short_name,line
Hankyū Corporation,Hankyū,Kōbe
Hankyū Corporation,Hankyū,Kōbe-Kōsoku
Hankyū Corporation,Hankyū,Itami
Hankyū Corporation,Hankyū,Imazu
Hankyū Corporation,Hankyū,Kōyō
Hankyū Corporation,Hankyū,Takarazuka
Hankyū Corporation,Hankyū,Minō
Hankyū Corporation,Hankyū,Kyōto
Hankyū Corporation,Hankyū,Senri
Hankyū Corporation,Hankyū,Arashiyama
"Nose Electric Railway Co., Ltd.",Nosedentetsu,Myōken
"Nose Electric Railway Co., Ltd.",Nosedentetsu,Nissei
"Ōsaka Metro Co., Ltd.",Ōsaka Metro,Sakaisuji
